id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.13259668508287292,0.000541493216938976,0.2028985507246377,0.8039695620536804
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.11428571428571427,0.0002195014414205916,0.15384615384615385,0.842848002910614
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,0.1256038647342995,0.00019727567799849097,0.15625,0.8136374950408936
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.06837606837606838,2.191873067097136e-06,0.06369426751592357,0.814778745174408
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,0.10699588477366254,5.405269745771396e-05,0.11320754716981132,0.8384902477264404
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.06808510638297872,4.672686988546841e-06,0.09090909090909091,0.8018632531166077
7,what kind of material was able to survive near the sun during the development of the solar system,0.152,0.001846297914127705,0.27710843373493976,0.8402855396270752
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.165938864628821,0.0012140920616629995,0.12738853503184713,0.8392671942710876
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.10256410256410255,0.000562856598675633,0.0975609756097561,0.8025091886520386
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.06034482758620689,8.76664540588976e-06,0.050955414012738856,0.8064061403274536
11,how do you make an older version of windows movie maker compatible with the new live version,0.15315315315315314,0.002334887017312265,0.2589928057553957,0.8574716448783875
12,"Who played the role of Tracy Turnblad in the original 1988 version of the movie ""Hairspray""?",0.12962962962962962,4.4619297265974234e-05,0.14285714285714285,0.8499512076377869
13,What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels?,0.04166666666666667,4.7673364226178314e-07,0.038461538461538464,0.7956050634384155
14,who discovered am and made the first successful amplitude-modulated transmission of voice?,0.13761467889908258,0.0007334651244491759,0.125,0.8327528238296509
15,What is the name of the main male character in the last song that miley falls in love with,0.05479452054794521,1.0975231648566743e-06,0.06993006993006994,0.8144678473472595
16,what are the impacts of information communication technology to public relation practices,0.12244897959183675,0.001031190911322567,0.14545454545454545,0.8436917662620544
17,What did movie theaters do for sound before synchronized sound was introduced into film,0.044642857142857144,3.8376205000277434e-06,0.05228758169934641,0.8212583661079407
18,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?,0.0743801652892562,8.125898849398088e-05,0.11560693641618497,0.815277099609375
19,what where the most important factors that led to the defeat of the democrates in 1968?,0.0930232558139535,0.00028164497975053445,0.08433734939759036,0.8220617771148682
20,who invented the biological system of nomenclature used to classify plants and animals,0.14925373134328357,0.0006074101212759254,0.17333333333333334,0.8361873030662537
21,How are the directions of the velocity and force vectors related in a circular motion,0.07407407407407407,4.7977128185545e-06,0.09859154929577464,0.7938879132270813
22,what happened to the new condos built at st clair ave and mt vernon in columbus ohio,0.07407407407407408,5.65501606781859e-05,0.06756756756756757,0.8067948222160339
23,what is the term used to describe a period o high anti- Communist feelings in the US,0.19277108433734938,0.004101731344024151,0.30939226519337015,0.8564900159835815
24,what is the name of the episode in full house when uncle jesse locked michelle out,0.1252236135957066,0.0025888042665806184,0.10191082802547771,0.7667346596717834
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.07894736842105263,6.0940903111596916e-05,0.13580246913580246,0.8413084149360657
26,how were europe colonist able to establish population centers in southern africa,0.10045662100456622,1.8029691200764003e-05,0.14285714285714285,0.8446931838989258
27,Who worked out the reactions that occur in the dark reactions of photosynthesis?,0.12682926829268293,0.00016544995544941012,0.1267605633802817,0.8244863152503967
28,What songs were used in the Viva La Bam episode Raab's Russian Mail Order Bride,0.06211180124223602,4.426989355549983e-05,0.10434782608695652,0.7973230481147766
29,how old do you need to be to play professional football in the canadian league,0.21524663677130046,0.0065448068018159064,0.29577464788732394,0.8534612655639648
