id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.020202020202020204,4.9699354854960215e-05,0.014705882352941176,0.765225350856781
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.0,0.0,0.0,0.7545605301856995
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,0.18181818181818182,0.001494774279170585,0.037037037037037035,0.7899101376533508
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.19373219373219375,0.004781170343984543,0.04332129963898917,0.8188320398330688
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,0.030188679245283023,0.0006767219396539741,0.008888888888888889,0.766520082950592
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.037288135593220334,0.00046982487928245726,0.00390625,0.7751681804656982
7,what kind of material was able to survive near the sun during the development of the solar system,0.03092783505154639,0.000616694987020887,0.007936507936507936,0.7779672741889954
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.09223300970873786,0.0018538276440616666,0.01729106628242075,0.7641356587409973
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.02364066193853428,0.001790038524833232,0.016666666666666666,0.7752804756164551
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.2637362637362637,0.0,0.0,0.8121742010116577
11,how do you make an older version of windows movie maker compatible with the new live version,0.136,0.0008073460861131828,0.01904761904761905,0.7855751514434814
12,"Who played the role of Tracy Turnblad in the original 1988 version of the movie ""Hairspray""?",0.03252032520325203,0.0007840414525059657,0.013921113689095127,0.7866299748420715
13,What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels?,0.02821869488536155,0.0006793496790468264,0.008247422680412371,0.7528068423271179
14,who discovered am and made the first successful amplitude-modulated transmission of voice?,0.04833836858006042,0.0012402734895052845,0.023622047244094488,0.7910079956054688
15,What is the name of the main male character in the last song that miley falls in love with,0.04945054945054945,0.001959065360316033,0.013986013986013986,0.7298539876937866
16,what are the impacts of information communication technology to public relation practices,0.03773584905660377,0.001068066610577714,0.012903225806451613,0.7483099102973938
17,What did movie theaters do for sound before synchronized sound was introduced into film,0.022813688212927757,0.0007256934521685752,0.013186813186813187,0.7694518566131592
18,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?,0.029850746268656716,0.0005531229122523415,0.0042643923240938165,0.7427083253860474
19,what where the most important factors that led to the defeat of the democrates in 1968?,0.05597014925373135,0.0008322892737637605,0.01762114537444934,0.7971560955047607
20,who invented the biological system of nomenclature used to classify plants and animals,0.08045977011494253,0.0014032687236626928,0.032362459546925564,0.787862241268158
21,How are the directions of the velocity and force vectors related in a circular motion,0.02973977695167286,0.0,0.0,0.7710734605789185
22,what happened to the new condos built at st clair ave and mt vernon in columbus ohio,0.06690140845070422,0.0007376312723660213,0.020703933747412008,0.7805112600326538
23,what is the term used to describe a period o high anti- Communist feelings in the US,0.03846153846153846,0.0011192441418873599,0.012987012987012988,0.7856403589248657
24,what is the name of the episode in full house when uncle jesse locked michelle out,0.28908554572271383,0.0038065979460112126,0.023622047244094488,0.6968845725059509
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.07906976744186046,0.001047148367969077,0.016574585635359115,0.7861049771308899
26,how were europe colonist able to establish population centers in southern africa,0.014388489208633093,0.0006528197211940766,0.012219959266802444,0.7638120651245117
27,Who worked out the reactions that occur in the dark reactions of photosynthesis?,0.2116991643454039,0.0024914889737754067,0.020066889632107024,0.7487406730651855
28,What songs were used in the Viva La Bam episode Raab's Russian Mail Order Bride,0.12641083521444696,0.0,0.0,0.7393277287483215
29,how old do you need to be to play professional football in the canadian league,0.05128205128205128,0.0,0.0,0.7270853519439697
30,what happens to the chemical composition of cocaine when you add it to alcohol,0.04926108374384236,4.147248192186916e-12,0.013513513513513514,0.7901904582977295
31,who was the quarterbacks in the super bowl between the steelers nd the cowboys,0.0,0.0,0.0,0.7547510266304016
32,what are the Declaration and Resolves of the First Continental Congress about,0.054421768707483,0.0005530732083351193,0.008771929824561403,0.7706509828567505
33,Who is the rap singer in right round with kesha in the background? *(dancer)*,0.021505376344086023,0.0008725425110454535,0.009478672985781991,0.7095921039581299
34,what does doug's father in law say about vegas before he leaves the hangover,0.030534351145038167,0.0004417469826772985,0.03980099502487562,0.7887958884239197
35,what was the Germans' last offensive on the western Front during World war 2,0.06921675774134789,0.0006156488293189476,0.00819672131147541,0.7739891409873962
36,What implication(s) does the law of conservation of matter have for humans?,0.03753351206434316,0.0,0.0,0.7851735353469849
37,what form of decay does not change the atomic number of them decaying atom?,0.026415094339622643,0.0006934400476691576,0.012738853503184714,0.7667714357376099
38,what is only constitutional leadership position in house of representatives,0.042168674698795185,0.0009140347243669964,0.02654867256637168,0.7245685458183289
39,who was the player for the detroit lions that wayne fontes did a tribute to,0.03614457831325301,0.0,0.0,0.790136456489563
40,how much will a transfusion of platelet apheresis raise the platelet count,0.010204081632653062,5.007482950996817e-43,0.014492753623188406,0.7328526973724365
41,WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS,0.043912175648702596,0.0007846746212914814,0.01818181818181818,0.7704585194587708
42,What are the fundamentals of Bretton Woods system for fixed exchange rates,0.03645833333333333,0.0008368489522973057,0.0058823529411764705,0.7875027060508728
43,What is the complete ground state electron configuration for the iron atom,0.07490636704119852,0.0,0.0,0.7320652008056641
44,"What is the HSMR percentage for the UAB Medical Center in Birmingham, ALA?",0.050793650793650794,0.000674273220491348,0.026785714285714284,0.7506570219993591
45,What are the two initials of the first US president to resign from office,0.05533596837944663,0.0002333662148733556,0.011299435028248588,0.7091837525367737
46,what is the name of the family guy episode where lois's sister has a baby,0.0445859872611465,0.0013760941156077972,0.05454545454545454,0.7693513631820679
47,How Do You Find the mean of the squares of the first 10 counting numbers,0.022058823529411766,0.0,0.0,0.760908305644989
48,"what does it mean when isaiah of the bible in chapter 55:verses 8,9 mean",0.13877551020408163,0.0009081712495764865,0.03125,0.7992634177207947
49,what board game are they playing in the 17th episode of big bang theory?,0.041666666666666664,0.0008619660977146246,0.022779043280182234,0.7671650052070618
50,what is the difference between magic eye 3d illusions and 3d technology?,0.04453441295546559,0.0006516964804010332,0.009070294784580499,0.7639132738113403
51,what kind of legal remedy is it to ask someone to fulfill there promise,0.07569721115537847,0.0005917776100907175,0.0045871559633027525,0.7838396430015564
52,who played derwin davis on the first 2 episodes of the tv show the game,0.03243243243243243,5.8719473888113597e-05,0.014925373134328358,0.7629693150520325
53,what year did the beatles came out with the song i wanna hold your hand,0.046153846153846156,0.00076167172249528,0.03125,0.7884647846221924
54,who wrote the famous novel Great books of  the western world volume 27?,0.06578947368421052,0.0,0.0,0.7369369268417358
55,"What year does the short story ""There Will Come Soft Rains"" take place?",0.045217391304347834,0.00048388779305212886,0.00404040404040404,0.787564754486084
56,what was the main contribution of john maynard keynes made to economics,0.05221932114882506,0.001248243828074963,0.01904761904761905,0.7611314058303833
57,how old was britney spears when she recorded hit me baby one more time,0.0,0.0,0.0,0.764439582824707
58,what christmas tree did white house have in 2011 AND where was it from,0.04181184668989547,0.0004506687376189601,0.030303030303030304,0.7521865963935852
59,how will a uk collection company collect money when you are in the usa,0.018867924528301886,0.0,0.0,0.7571717500686646
60,when did the UK Labour Government replace the Conservative Government?,0.016985138004246288,0.0008814945651013726,0.01507537688442211,0.7368679642677307
61,when did zacharias janssen make a discovery related to the cell theory,0.03418803418803419,0.0010286935475584365,0.02557544757033248,0.7673627138137817
62,What political conflicts marked the presidency of William Howard Taft?,0.011049723756906077,0.0,0.0,0.7678515911102295
63,who was the first to argue that the sun was the center of the universe,0.03546099290780142,0.0006462967649083571,0.019230769230769232,0.7606452107429504
64,what ever happened to the survivors of the 1989 california earthquake,0.04642166344294005,0.0016512744318982844,0.03255813953488372,0.7633364200592041
65,Who holds records for most weeks spent at number one as female artist,0.041666666666666664,2.3461120338568996e-05,0.026845637583892617,0.7798358201980591
66,what other territories did the english sharing the island of st kitts,0.029411764705882353,0.0,0.0,0.7664821147918701
67,what is the age you have to be to have the right to freedom of speech,0.07799442896935933,0.0017748373324567065,0.013793103448275862,0.7287986278533936
68,what was the distance of evacuation from the russian nuclear meltdown,0.018518518518518517,0.0,0.0,0.776999294757843
69,what country in the middle east did france take control of after ww1,0.07063197026022305,0.0005429892435108104,0.004310344827586207,0.7860844731330872
70,how did elvis presley contribute to the popularity of rock and roll?,0.0684931506849315,0.0005271457198721688,0.02127659574468085,0.697008490562439
71,what the multiple endings of john say about its possible authorship;,0.06635071090047394,0.0,0.0,0.7620483636856079
72,"what types of trees, flowers, or plants are commonly found in canada",0.009900990099009901,0.0015250706915350565,0.01092896174863388,0.7447608113288879
73,who are the current minority leaders in the house of representatives,0.06015037593984962,0.00034616924382422216,0.050955414012738856,0.7738023400306702
74,who was the republican candidate for president in the 1969 elections,0.07499999999999998,0.001364663004747705,0.02553191489361702,0.7642754316329956
75,what happens  to the light independent reactions of photosynthesis?,0.09368635437881874,0.0019086200322940223,0.0297029702970297,0.8043445348739624
76,how did the african slave trade affect africans in terms of economy,0.023437500000000003,0.0007168027689898326,0.013422818791946308,0.7437646985054016
77,when tonight show first started in 1962 everyone did this on camera,0.04628099173553719,0.0005443375248291261,0.007547169811320755,0.7793278694152832
78,What was the original name of the holiday known today as Halloween?,0.03529411764705882,2.1914829303278486e-23,0.018691588785046728,0.7728790640830994
79,how school librarians support students with disabilities in europe,0.023762376237623763,0.0006121489088837754,0.0047169811320754715,0.7576379179954529
80,how many bones are in the skeletal system is composed of 306 bones,0.07843137254901959,0.0015488637888122897,0.03,0.8062568306922913
81,who accompanied King louis the VII of France on the second crusade,0.032258064516129024,0.0005794615958435408,0.010582010582010581,0.7718149423599243
82,what year did george bush name hank paulson secretary of treasury?,0.05347593582887701,0.0011742369094418872,0.01935483870967742,0.7363765239715576
83,What is the function of an epithelial free surface that is smooth?,0.04618117229129663,0.0009206097265823595,0.029411764705882353,0.7741751670837402
84,what is the average time it takes to go through aa 12 step program,0.030252100840336135,0.00056168707864082,0.007692307692307693,0.7626442313194275
85,what professional baseball pitchers were on the Schaumburg Flyers,0.047619047619047616,0.0007609322993203009,0.017094017094017096,0.7374731302261353
86,where did the money for the new scoreboard in milwaukee come from,0.05223880597014926,0.0007407600873101337,0.012987012987012988,0.7555709481239319
87,"WHAT MOVIE HAD MICKEY GILLEY'S SONG ""I WAS BORN A DREAMER"" IN IT?",0.18829516539440203,0.001140043632803296,0.012578616352201259,0.8216087222099304
88,What role did clint walker play in the movie The Ten Commandments,0.14395886889460155,0.0010985860758161306,0.012698412698412698,0.818782389163971
89,"where is the person who played ""joey stivic"" in all in the family",0.018779342723004695,0.001493050376914534,0.01098901098901099,0.7693994045257568
90,What culture is it that children do not look adults in the eyes?,0.03125,0.0,0.0,0.7908393740653992
91,when does into the wild 30 seconds to mars concert dvd come out?,0.0632411067193676,0.0009879958774854675,0.03314917127071823,0.7642771601676941
92,what printmaking process doesn't require the text to be reversed,0.03246753246753247,0.0,0.0,0.7645248770713806
93,where in gospel of mark does the disciples question Christ deity,0.024271844660194174,0.0010760359725794765,0.017595307917888565,0.7246879935264587
94,what is the highest mountain in america and where is is located?,0.06504065040650407,0.0006957733534210409,0.011049723756906077,0.778897225856781
95,what is the name for the oldest island in the hawaiian hot spots,0.23822714681440443,0.002139325906225859,0.020202020202020204,0.8054773807525635
96,when was sechs Kleine Klavierstucke by arnold schoenberg written,0.023166023166023165,0.0005185570505267268,0.01,0.7175647616386414
97,how much money did charlie chaplin make in any year in the 1920,0.03652968036529681,5.3194935235015324e-12,0.03361344537815126,0.7671123743057251
98,how many native Americans did the United States kill or deport?,0.02185792349726776,0.0006192544246862886,0.008456659619450317,0.7625713348388672
99,What did the Supreme Court determine in Dred Scott v. Sandford?,0.13866666666666666,0.0012667113378392427,0.034482758620689655,0.828616201877594
100,how many millions of years have great white sharks been around?,0.034912718204488775,0.0016530323106317148,0.011869436201780416,0.7411336898803711
101,How is constitutionalism used in the American Government today?,0.06389776357827476,0.0,0.0,0.729535698890686
102,where did lyndon b johnson tour to announce his war on poverty?,0.06486486486486487,0.0011388719986040686,0.01929260450160772,0.7916428446769714
103,What is the first program to run during a system boot sequence?,0.10771992818671454,0.0007114227546346235,0.01646090534979424,0.7828869223594666
104,who is elizabeth from general hospital who are the boys fathers,0.02,0.0,0.0,0.7634961605072021
105,what were the major obstacles facing the Industrial Revolution/,0.042682926829268296,0.0011691413809042034,0.014760147601476014,0.7321838736534119
106,who was the last roman emperor and how old was he when he ruled,0.08791208791208792,0.000707076334678469,0.005509641873278237,0.7754926681518555
107,when was the ancient greek republic was formed and on what date,0.0,0.0,0.0,0.7436735033988953
108,how much more time does chemo give to people with renal cancer,0.02898550724637681,0.0008272758413301713,0.010810810810810811,0.7539010047912598
109,when did abraham lincoln write the emancipation proclamation??,0.05600000000000001,0.0003534288800463714,0.023668639053254437,0.7681052684783936
110,what spanish speaking countries have the most world cup titles,0.05907172995780591,0.00016941755519827708,0.026845637583892617,0.78497713804245
111,what percent of kids 15 and under make up the human population,0.03592814371257485,0.0007788675797637456,0.023622047244094488,0.7728347778320312
112,what is the name of an investigation with controlled variables,0.08983451536643028,0.004902339535023356,0.034782608695652174,0.7902030944824219
113,what is the difference between multistage and cluster sampling,0.05208333333333333,0.0007511930784689695,0.02053388090349076,0.7785055637359619
114,What were the major economic activities of the early Canadians,0.0196078431372549,0.0010308237827220531,0.012987012987012988,0.7283584475517273
115,what is the main source of power in today's america factories?,0.02162162162162162,0.0,0.0,0.7282978892326355
116,"what is the meaning behind  the song Moody's, Im In the Mood ?",0.03474903474903475,0.00059375352275568,0.004597701149425287,0.7575566172599792
117,What was distinguished about the Stamp Act from previous taxes,0.037162162162162164,0.00046129361579630386,0.003780718336483932,0.7801617383956909
118,how are business ethics different in Africa and United States,0.05363984674329503,0.0,0.0,0.7438046336174011
119,How many consecutive starts did Brett Favre have this season?,0.00980392156862745,0.0,0.0,0.7601402997970581
120,How many miles of interstates are there in the united states?,0.08301886792452831,0.0021917491163706095,0.04020100502512563,0.7516462802886963
121,how did streets in lower 9th ward new orleans get their names,0.029465930018416207,0.0,0.0,0.7686172723770142
122,what day does election results for a new governor start in NJ,0.02768166089965398,0.0004869765130022466,0.009478672985781991,0.7519010305404663
123,how does Delaware support its claim to being the first state?,0.028985507246376812,0.0,0.0,0.7594000697135925
124,what percent of illegal immigrants are from mexico and europe,0.13725490196078433,0.0011303205061249089,0.01818181818181818,0.8202742338180542
125,what model years did the ford focus zx3 have the zetec engine,0.05217391304347826,0.0008149372465016613,0.010230179028132993,0.7750883102416992
126,What are 2 United States Senators that are from Pennsylvania?,0.05649717514124294,0.0012164728351479568,0.019736842105263157,0.7718467116355896
127,"What is the birth rate, death rate, life expectancy in Turkey",0.022222222222222223,0.00018776579381785054,0.023255813953488372,0.7911694049835205
128,who was the first person to climb the mount of the holy cross,0.022099447513812154,0.0,0.0,0.7035788297653198
129,What is the value of understanding cross-cultural psychology?,0.0658578856152513,0.0007543720067913143,0.020491803278688523,0.7861623764038086
130,what is the difference between diabetic and adiabatic process,0.04788213627992633,0.0007773977986848643,0.017660044150110375,0.7987622022628784
131,how do I determine size needed for german world war 2 helmet,0.039927404718693285,0.0006677201785891612,0.012345679012345678,0.7548636198043823
132,what do do the colors on the flag of palma de mallorca mean?,0.06334841628959276,1.4377841069146675e-07,0.064,0.7412172555923462
133,what types of muscles are those of the swallowing mechanism?,0.011173184357541898,0.0,0.0,0.7442372441291809
134,who died on the florida gators college baseball team in 2010,0.04774535809018569,0.0011208983823321776,0.014084507042253521,0.7353455424308777
135,what is the united nations and what is its role in the world,0.07473309608540925,0.00048787044595040806,0.0039447731755424065,0.7891626358032227
136,what was the name of the magazine all teenager read in 2000s,0.05154639175257732,1.6480661944414623e-12,0.046153846153846156,0.7490700483322144
137,what is commercial health insurance - Blue Cross Blue Shield,0.02366863905325444,0.0,0.0,0.739191472530365
138,how old was anna nicole smith when she meet her old husband,0.0,0.0,0.0,0.7530775666236877
139,HOW MANY BROTHELS WERE THERE IN THE UNITED STATES IN 1840'S,0.03125,0.0003924375665704707,0.02912621359223301,0.7547395825386047
140,what jobs did hans christian anderson have besides writing?,0.0398406374501992,0.0004654545533655721,0.022727272727272728,0.774819016456604
141,what goods are imported in the Democratic Republic of Congo,0.0,0.0,0.0,0.7484641075134277
142,where in the bible that palestine have no land in jerusalem,0.04524886877828054,4.829944986303132e-14,0.027972027972027972,0.7699604034423828
143,"who played guitar on the kiss album, creatures of the night",0.03524229074889868,0.0009268793117363701,0.010282776349614395,0.7657610774040222
144,what kind of potential is created after a neuron is excited,0.00980392156862745,1.5121288265197381e-44,0.017094017094017096,0.7215587496757507
145,what powers are specific to a particular house of Congress?,0.03663003663003663,0.0006639316570854209,0.012024048096192385,0.7858670353889465
146,who is the current Chief Justice of the U.S. supreme court?,0.08492569002123142,0.0008716452920730456,0.015503875968992248,0.785614013671875
147,what is the difference in meaning of fraud and illegal acts,0.03741496598639455,0.0012136110010150807,0.015384615384615385,0.778597354888916
148,what were hamilton's goals for establishing a national bank,0.02654867256637168,4.764381396755869e-08,0.014925373134328358,0.735726535320282
149,What did the augurs use to interpret the will of the gods?,0.07758620689655173,0.001024729336844952,0.025839793281653745,0.8072128891944885
150,how many miles is harvard university from yale university?,0.010204081632653062,0.0,0.0,0.7503165602684021
151,what films has hugh grant and richard curtis done together,0.009478672985781991,4.658029613953531e-31,0.015625,0.7458798289299011
152,how did the arrival of the horse affect the pawnee indians,0.025477707006369425,0.0005896542790829818,0.01415929203539823,0.7782389521598816
153,what happened to lynne on real housewives of orange county,0.05691056910569105,0.0001698419714510511,0.011627906976744186,0.7086190581321716
154,what does a laboratory in a gynecologist office consist of,0.056603773584905655,0.0009572072752969267,0.017142857142857144,0.759954571723938
155,what episode do they play the second opening in Death note,0.030150753768844223,0.0,0.0,0.7586563229560852
156,what day is the federal holiday for Martin Luther King Jr.,0.07964601769911504,0.000988669217785852,0.059880239520958084,0.7907096743583679
157,what does it mean to take communion in the catholic church,0.14256619144602853,0.01383483211129465,0.02912621359223301,0.7823694944381714
158,how many public universities are in the state of Louisiana,0.06912442396313365,0.0,0.0,0.7936599850654602
159,what part of the government is the federal court judge in?,0.12877263581488932,0.0010167064829860715,0.029197080291970802,0.8089264631271362
160,what are the effects of low progesterone levels in a woman,0.02654867256637168,1.2500478112858914e-05,0.025,0.7427595257759094
161,"What percentile is my income of 140,000 of the population?",0.12527964205816555,0.001396166086647998,0.044444444444444446,0.8227410316467285
162,what is max gross weight for 2004 international semi truck,0.13793103448275862,0.0009472275547238045,0.0215633423180593,0.7688999772071838
163,what was the Name the first electronic handheld calculator,0.0588235294117647,0.0,0.0,0.7859610915184021
164,what is the lowest temperature ever recorded in antarctica,0.02723735408560311,0.00053482389870211,0.004454342984409799,0.734219491481781
165,where is university of nelson mandela metropolitan located,0.076,0.0007635767993240436,0.013824884792626729,0.7869779467582703
166,what was the ratings of the final episode La Reina Del Sur,0.028169014084507043,0.0007678465194777658,0.042328042328042326,0.744778573513031
167,When was John F. Kennedy born and when was he assassinated,0.03619909502262443,1.627104667489265e-11,0.01282051282051282,0.7438668608665466
168,what was the first police department in the United states?,0.04225352112676056,0.000602551178116257,0.018957345971563982,0.7614157199859619
169,what is the difference between inside glazed outside glaze,0.10970464135021096,0.0009804642300501162,0.021108179419525065,0.8103963136672974
170,What is the purpose of North American Free Trade Agreement,0.08284023668639054,0.0,0.0,0.7489473223686218
171,where are the web templates for visual studio 2010 express,0.3176470588235294,0.0009656891816021356,0.006688963210702341,0.7247280478477478
172,What did the hollywood blacklist have to do with McCarthy,0.13711583924349885,0.0009905253039703874,0.011661807580174927,0.8122527003288269
173,how many people visit crater lake national park each year,0.024615384615384615,0.0,0.0,0.7565079927444458
174,what countries allow gays to openly serve in the military,0.06018518518518518,0.0045558677561751346,0.027247956403269755,0.7752526998519897
175,what factors stand out in the war against terror articles,0.042056074766355145,0.0008825343843248629,0.0060790273556231,0.7163125872612
176,what movie won the academy award for best picture in 2000,0.20098039215686275,0.0010653792100735373,0.012779552715654952,0.8340017795562744
177,what are the goals of the organization of American states,0.02127659574468085,0.0007763669110295977,0.009478672985781991,0.6972008943557739
178,what are the three dominant political parties in America?,0.21428571428571427,0.0007992367913859365,0.006024096385542169,0.7840401530265808
179,who is the actor who played the gay old guy in family guy,0.20270270270270274,0.0,0.0,0.7875857949256897
180,how are the archegonia of the fern and pine cone similar,0.018604651162790697,0.0,0.0,0.7353768944740295
181,how many states are involved in the mega million drawing,0.1377245508982036,0.0008546486847588608,0.02553191489361702,0.8092279434204102
182,how many spots on the blackhawks roster were turned over,0.054421768707482984,0.0007132403243102193,0.010362694300518135,0.7871394753456116
183,where can i find shantytowns during the great depression,0.00966183574879227,0.0,0.0,0.7684146165847778
