id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.0670391061452514,0.00013534475291796216,0.14705882352941177,0.8230606317520142
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.656429942418426,0.4632726458935984,0.6805970149253732,0.8868886828422546
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,0.8910891089108911,0.6896783857812031,0.9004329004329005,0.948846161365509
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.7072599531615925,0.8995449716626138,0.9416058394160584,0.9472642540931702
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,0.9094827586206896,0.8043948338139939,0.8858131487889274,0.9585068225860596
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.8374164810690423,0.7563464686159309,0.8375451263537906,0.96338951587677
7,what kind of material was able to survive near the sun during the development of the solar system,0.7580645161290324,0.5785490414990165,0.7982832618025751,0.9407999515533447
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.7072691552062869,0.4866779055013582,0.7350993377483444,0.9296522736549377
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.7565217391304346,0.6049084107879962,0.8231046931407943,0.9509069919586182
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.790224032586558,0.5373746430957853,0.7243589743589743,0.92441725730896
11,how do you make an older version of windows movie maker compatible with the new live version,0.44874274661508706,0.20674912316689054,0.5401459854014599,0.8905048370361328
12,"Who played the role of Tracy Turnblad in the original 1988 version of the movie ""Hairspray""?",0.8963730569948187,0.8299524046678454,0.8957528957528957,0.9724487662315369
13,What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels?,0.9977220956719818,0.9953380038014844,0.996415770609319,0.9935790300369263
14,who discovered am and made the first successful amplitude-modulated transmission of voice?,0.997289972899729,0.9068200585412547,0.944206008583691,0.9908204674720764
15,What is the name of the main male character in the last song that miley falls in love with,0.9054054054054054,0.8221211756629588,0.9197080291970803,0.9821550846099854
16,what are the impacts of information communication technology to public relation practices,0.6818181818181819,0.3859905262822842,0.6282722513089005,0.94533771276474
17,What did movie theaters do for sound before synchronized sound was introduced into film,0.948356807511737,0.8183947201201632,0.9039145907473309,0.9719071388244629
18,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?,0.5038961038961038,0.2604473599801856,0.5207547169811321,0.9002224802970886
19,what where the most important factors that led to the defeat of the democrates in 1968?,0.27542372881355937,0.14987757298970691,0.44366197183098594,0.8636731505393982
20,who invented the biological system of nomenclature used to classify plants and animals,0.9938650306748467,0.7929468363258041,0.9067796610169492,0.9686571955680847
21,How are the directions of the velocity and force vectors related in a circular motion,0.941747572815534,0.8881086567130481,0.9571984435797666,0.9774615168571472
22,what happened to the new condos built at st clair ave and mt vernon in columbus ohio,0.9505882352941176,0.8723208281527854,0.9169960474308301,0.9677721858024597
23,what is the term used to describe a period o high anti- Communist feelings in the US,0.8987012987012988,0.7694386574029711,0.8656716417910447,0.9648062586784363
24,what is the name of the episode in full house when uncle jesse locked michelle out,1.0,0.9950615774798434,0.9921875,0.9923616051673889
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.9496402877697842,0.8999849025402268,0.9540636042402827,0.9836799502372742
26,how were europe colonist able to establish population centers in southern africa,0.9486552567237163,0.8893618223181102,0.9558823529411765,0.9822161197662354
27,Who worked out the reactions that occur in the dark reactions of photosynthesis?,0.9510086455331412,0.9026789866167962,0.9456066945606695,0.9675943851470947
28,What songs were used in the Viva La Bam episode Raab's Russian Mail Order Bride,0.7867867867867867,0.4238959254091511,0.7534883720930232,0.9165653586387634
29,how old do you need to be to play professional football in the canadian league,0.9945054945054945,0.9184122545436484,0.9767441860465116,0.9762837290763855
30,what happens to the chemical composition of cocaine when you add it to alcohol,0.9895833333333333,0.9176252039070418,0.971830985915493,0.9771667122840881
31,who was the quarterbacks in the super bowl between the steelers nd the cowboys,0.9882903981264637,0.9636031127928603,0.993103448275862,0.9925951361656189
32,what are the Declaration and Resolves of the First Continental Congress about,0.8791208791208792,0.776392032794232,0.8975903614457831,0.958232045173645
