id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.9148264984227129,0.8344213054147583,0.9082969432314411,0.9685236811637878
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.4658385093167702,0.14573892191208176,0.5531914893617021,0.8964847326278687
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,0.9972299168975068,0.8313505231652228,0.8952380952380953,0.9714896082878113
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.20149253731343283,0.009287479672356797,0.2430939226519337,0.843457043170929
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,1.0,0.9953378683790134,0.9926470588235294,0.9930633306503296
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.966183574879227,0.9287683752305473,0.9692307692307692,0.9814355373382568
7,what kind of material was able to survive near the sun during the development of the solar system,0.7328605200945626,0.5488379015610222,0.7938931297709924,0.9469187259674072
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.35649546827794565,0.15650079633965497,0.30414746543778803,0.8801031708717346
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.6355555555555555,0.3519687835591272,0.6643598615916955,0.9219487905502319
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.755952380952381,0.5230224983701037,0.7733333333333333,0.9540602564811707
11,how do you make an older version of windows movie maker compatible with the new live version,0.31501831501831506,0.030098216325576885,0.31137724550898205,0.8726121187210083
12,"Who played the role of Tracy Turnblad in the original 1988 version of the movie ""Hairspray""?",0.9521410579345089,0.8936133193571786,0.9446494464944649,0.976170539855957
13,What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels?,1.0,1.0,1.0,0.996428370475769
14,who discovered am and made the first successful amplitude-modulated transmission of voice?,0.9973045822102425,0.989040682293045,0.9914529914529915,0.982104480266571
15,What is the name of the main male character in the last song that miley falls in love with,1.0,1.0,1.0,0.9999567270278931
16,what are the impacts of information communication technology to public relation practices,0.985,0.9565556748249245,0.9761904761904762,0.9796018600463867
17,What did movie theaters do for sound before synchronized sound was introduced into film,0.6432160804020101,0.38811320622286277,0.6367041198501873,0.9352883696556091
18,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?,0.6208955223880598,0.2606062997677677,0.6134453781512605,0.9161635041236877
19,what where the most important factors that led to the defeat of the democrates in 1968?,0.44491525423728817,0.15688484663750585,0.47017543859649125,0.87647545337677
20,who invented the biological system of nomenclature used to classify plants and animals,0.9875776397515528,0.9212522826400317,0.9696969696969697,0.9655861258506775
21,How are the directions of the velocity and force vectors related in a circular motion,0.9898477157360407,0.9796431000253993,0.9959514170040485,0.990453839302063
22,what happened to the new condos built at st clair ave and mt vernon in columbus ohio,0.9370629370629372,0.8490175228950503,0.9163346613545816,0.9657983779907227
23,what is the term used to describe a period o high anti- Communist feelings in the US,0.7005649717514124,0.3777327166010608,0.6956521739130435,0.9470506906509399
24,what is the name of the episode in full house when uncle jesse locked michelle out,1.0,0.9950615774798434,0.9921875,0.997615396976471
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.6821192052980132,0.4138080991773701,0.7136150234741784,0.9300119876861572
26,how were europe colonist able to establish population centers in southern africa,1.0,0.9766921249696038,0.9923664122137404,0.9941011667251587
