id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.49532710280373826,0.16287395704863103,0.5903614457831325,0.9143238067626953
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.2403100775193798,0.010862841283568906,0.2978723404255319,0.856098473072052
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,1.0,0.8319694329795851,0.8857142857142857,0.9646043181419373
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.39583333333333337,0.10424770152615417,0.4712041884816754,0.8857100605964661
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,0.8475247524752475,0.7293715277814772,0.869281045751634,0.9628596305847168
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.8045325779036826,0.6217110478230179,0.8384279475982532,0.963403046131134
7,what kind of material was able to survive near the sun during the development of the solar system,0.3442622950819672,0.01993173607037239,0.425,0.8954905271530151
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.6666666666666666,0.34769135678373436,0.6914893617021277,0.9125810265541077
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.1456953642384106,0.005178200564360445,0.15135135135135136,0.8005391359329224
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.2857142857142857,0.04384630576047213,0.39572192513368987,0.8858708739280701
11,how do you make an older version of windows movie maker compatible with the new live version,0.4123711340206186,0.2253694266585127,0.5185185185185185,0.9077682495117188
12,"Who played the role of Tracy Turnblad in the original 1988 version of the movie ""Hairspray""?",0.9142857142857143,0.8230629407856667,0.895397489539749,0.9624447822570801
13,What is the name of the author who wrote Chitty Chitty Bang Bang and the James Bond novels?,0.9977220956719818,0.9953380038014844,0.996415770609319,0.9959131479263306
14,who discovered am and made the first successful amplitude-modulated transmission of voice?,0.7987012987012987,0.5940446186223844,0.8121827411167513,0.9590467810630798
15,What is the name of the main male character in the last song that miley falls in love with,0.9356435643564357,0.9234235282774657,0.9274193548387096,0.9672000408172607
16,what are the impacts of information communication technology to public relation practices,0.5875,0.4363321173213917,0.7627906976744186,0.9251587390899658
17,What did movie theaters do for sound before synchronized sound was introduced into film,1.0,1.0,1.0,0.9930121302604675
18,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?,0.2942942942942943,0.20428213038048262,0.5565217391304348,0.906734049320221
19,what where the most important factors that led to the defeat of the democrates in 1968?,0.12017167381974249,2.4380998294984405e-06,0.11267605633802817,0.8252869844436646
20,who invented the biological system of nomenclature used to classify plants and animals,0.6854838709677419,0.38093890194277774,0.7103825136612022,0.9324899911880493
21,How are the directions of the velocity and force vectors related in a circular motion,0.9796954314720812,0.9707245104846091,1.0,0.988378643989563
22,what happened to the new condos built at st clair ave and mt vernon in columbus ohio,0.8914549653579676,0.7404398752189294,0.8514056224899599,0.9585574865341187
23,what is the term used to describe a period o high anti- Communist feelings in the US,0.7272727272727273,0.43312543010903054,0.7079646017699115,0.9272682070732117
24,what is the name of the episode in full house when uncle jesse locked michelle out,1.0,0.9950615774798434,0.9921875,0.997615396976471
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.9974811083123425,0.9658254289460972,0.9852941176470589,0.9920729994773865
26,how were europe colonist able to establish population centers in southern africa,0.982367758186398,0.9600984841050796,0.9886792452830189,0.9928372502326965
27,Who worked out the reactions that occur in the dark reactions of photosynthesis?,0.9590643274853802,0.8968170785871266,0.9696969696969697,0.9681190848350525
28,What songs were used in the Viva La Bam episode Raab's Russian Mail Order Bride,0.3051948051948052,0.16428786289521133,0.30612244897959184,0.839664101600647
29,how old do you need to be to play professional football in the canadian league,0.3133640552995392,0.011278596269509285,0.4233576642335766,0.8882675766944885
30,what happens to the chemical composition of cocaine when you add it to alcohol,0.38297872340425526,0.04076220397836621,0.46153846153846156,0.8981113433837891
31,who was the quarterbacks in the super bowl between the steelers nd the cowboys,0.8449197860962567,0.681059258136684,0.8366533864541833,0.9689221382141113
32,what are the Declaration and Resolves of the First Continental Congress about,1.0,0.9866834461262846,0.9933333333333333,0.9935644865036011
33,Who is the rap singer in right round with kesha in the background? *(dancer)*,0.34101382488479265,0.01995479698276843,0.3971631205673759,0.8971505165100098
34,what does doug's father in law say about vegas before he leaves the hangover,0.5149253731343283,0.14143962195283138,0.5595854922279793,0.8963634371757507
35,what was the Germans' last offensive on the western Front during World war 2,0.7184466019417475,0.4452626665281448,0.7345132743362832,0.9346668124198914
36,What implication(s) does the law of conservation of matter have for humans?,0.45847176079734225,0.182137369612439,0.44808743169398907,0.8875944018363953
37,what form of decay does not change the atomic number of them decaying atom?,1.0,1.0,1.0,0.997904896736145
