id,anchor,ROUGE-L,BLEU,Token-F1,BERTScore
1,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,0.5083333333333334,0.2810424453098915,0.5913978494623656,0.8966161608695984
2,What are the primary components of globalization that affect how the practice of medicine takes place in the U.S.?,0.9354005167958657,0.8218935040055524,0.9219330855018587,0.9590358734130859
3,What is the name of the six-part comic book mini-series based on a character in Call of Duty: Modern Warfare 2?,0.9651474530831099,0.9265065544455032,0.944954128440367,0.9744474291801453
4,What was the nickname of the 1967 Red Sox team that outperformed expectations and made it to the World Series,0.8116710875331566,0.6720468750658789,0.8392156862745098,0.9496538639068604
5,what negative element was introduced into the the campaign between andrew jackson and john ouincy adams,0.821256038647343,0.7612304640706705,0.8333333333333334,0.9445223212242126
6,What is the enzyme responsible for transferring electrons to oxygen in the electron transport chain?,0.8682505399568035,0.7943383607633955,0.9175627240143369,0.9715430736541748
7,what kind of material was able to survive near the sun during the development of the solar system,0.30662020905923343,0.13132585220167112,0.4479166666666667,0.8605139851570129
8,How did women work for equal rights during the women's movement? Were their efforts successful?,0.8980716253443527,0.8045552110175204,0.8734693877551021,0.96234130859375
9,what are organic semiconductors and what is concept of homo and lumo in organic semiconductor,0.7635327635327636,0.6421397086118831,0.75,0.9264588356018066
10,how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,0.6306818181818181,0.44630509832783843,0.5982142857142857,0.9069358110427856
11,how do you make an older version of windows movie maker compatible with the new live version,0.4061302681992337,0.14833698983184074,0.41509433962264153,0.8869277238845825
24,what is the name of the episode in full house when uncle jesse locked michelle out,0.9698375870069605,0.9325571552195034,0.9581749049429658,0.9832675457000732
25,where would you be standing on june 21 if the sun were directly overhead at noon.,0.972972972972973,0.9328346500059653,0.9640287769784173,0.9780977368354797
26,how were europe colonist able to establish population centers in southern africa,0.9798994974874372,0.9428772490068281,0.9811320754716981,0.9918000102043152
27,Who worked out the reactions that occur in the dark reactions of photosynthesis?,0.934844192634561,0.9057623935783455,0.9456066945606695,0.9711287021636963
28,What songs were used in the Viva La Bam episode Raab's Russian Mail Order Bride,0.9484536082474228,0.900923783066081,0.934010152284264,0.9733125567436218
29,how old do you need to be to play professional football in the canadian league,0.35772357723577236,0.08640574837706005,0.43312101910828027,0.8623005151748657
30,what happens to the chemical composition of cocaine when you add it to alcohol,0.9402985074626865,0.8665244720192998,0.9513888888888888,0.9722522497177124
31,who was the quarterbacks in the super bowl between the steelers nd the cowboys,0.9882903981264637,0.9636031127928603,0.993103448275862,0.9925951361656189
32,what are the Declaration and Resolves of the First Continental Congress about,0.8618266978922717,0.7174296579531934,0.8317460317460318,0.9583244919776917
33,Who is the rap singer in right round with kesha in the background? *(dancer)*,0.4672131147540984,0.1307334377884836,0.5276073619631901,0.8824647068977356
34,what does doug's father in law say about vegas before he leaves the hangover,0.6937499999999999,0.46350411282911286,0.7079646017699115,0.930662214756012
35,what was the Germans' last offensive on the western Front during World war 2,0.9204819277108433,0.8752761672162501,0.9319727891156463,0.9742826819419861
36,What implication(s) does the law of conservation of matter have for humans?,0.968421052631579,0.924223973245412,0.9539748953974896,0.9813553094863892
37,what form of decay does not change the atomic number of them decaying atom?,0.9739583333333333,0.9469476834539037,0.974169741697417,0.9813412427902222
38,what is only constitutional leadership position in house of representatives,0.9760765550239235,0.9474924965279264,0.967479674796748,0.9800207018852234
39,who was the player for the detroit lions that wayne fontes did a tribute to,0.9202127659574468,0.8869069228742439,0.9083969465648855,0.9735107421875
40,how much will a transfusion of platelet apheresis raise the platelet count,0.8034682080924855,0.7133830059573645,0.8225806451612904,0.9440723657608032
41,WHAT DID MARLON BRANDO DO WITH THE BUTTER IN THE MOVIE LAST TANGO IN PARIS,0.6871794871794872,0.6557280932825467,0.7931034482758621,0.9183803200721741
42,What are the fundamentals of Bretton Woods system for fixed exchange rates,0.7034883720930233,0.6913635155945639,0.7786885245901639,0.9441549181938171
43,What is the complete ground state electron configuration for the iron atom,0.8421052631578949,0.7147897536507016,0.8464730290456431,0.9020270109176636
44,"What is the HSMR percentage for the UAB Medical Center in Birmingham, ALA?",0.9644444444444444,0.9252728475801436,0.9605734767025089,0.9692922234535217
45,What are the two initials of the first US president to resign from office,0.9664082687338501,0.9389336215314359,0.9578544061302682,0.9751368761062622
46,what is the name of the family guy episode where lois's sister has a baby,0.9393139841688654,0.9173520944575013,0.9316239316239316,0.9720336198806763
47,How Do You Find the mean of the squares of the first 10 counting numbers,0.9738717339667459,0.9474924965279264,0.9727891156462585,0.9829270243644714
48,"what does it mean when isaiah of the bible in chapter 55:verses 8,9 mean",0.7500000000000001,0.6470364323619024,0.7467811158798283,0.9349730014801025
49,what board game are they playing in the 17th episode of big bang theory?,0.981651376146789,0.9679625340185803,0.9885931558935361,0.9932864904403687
50,what is the difference between magic eye 3d illusions and 3d technology?,0.7751479289940829,0.7105799825794554,0.8189655172413793,0.9479297399520874
51,what kind of legal remedy is it to ask someone to fulfill there promise,0.9132653061224489,0.8689631816778609,0.9034749034749034,0.9697095155715942
52,who played derwin davis on the first 2 episodes of the tv show the game,0.416058394160584,0.3443073760315252,0.5405405405405406,0.8656191229820251
53,what year did the beatles came out with the song i wanna hold your hand,0.3373493975903614,0.08060695875226939,0.4277456647398844,0.8659193515777588
54,who wrote the famous novel Great books of  the western world volume 27?,0.9579831932773109,0.9094925352445964,0.9459459459459459,0.9759734272956848
55,"What year does the short story ""There Will Come Soft Rains"" take place?",0.5427135678391961,0.6309717423298987,0.7773279352226721,0.928864061832428
56,what was the main contribution of john maynard keynes made to economics,0.11111111111111112,0.00047126270283343237,0.12422360248447205,0.8068639636039734
57,how old was britney spears when she recorded hit me baby one more time,0.9668246445497631,0.9313950879716224,0.9534883720930233,0.9732323288917542
58,what christmas tree did white house have in 2011 AND where was it from,0.09846153846153846,0.003320195337146503,0.1388888888888889,0.799056351184845
59,how will a uk collection company collect money when you are in the usa,0.9493975903614459,0.8994568288173915,0.9548872180451128,0.9849629998207092
60,when did the UK Labour Government replace the Conservative Government?,0.8264462809917356,0.699613580695856,0.8085106382978723,0.9519673585891724
61,when did zacharias janssen make a discovery related to the cell theory,0.6476190476190476,0.38574752065293394,0.704225352112676,0.9223716259002686
62,What political conflicts marked the presidency of William Howard Taft?,0.5868725868725868,0.2915305989211034,0.6,0.9181758165359497
63,who was the first to argue that the sun was the center of the universe,0.9601990049751243,0.933361412242894,0.9609375,0.9727644324302673
64,what ever happened to the survivors of the 1989 california earthquake,0.9405684754521965,0.8647500594224009,0.9506726457399103,0.9792577624320984
65,Who holds records for most weeks spent at number one as female artist,0.4859154929577465,0.15673090108218019,0.574585635359116,0.9106267690658569
66,what other territories did the english sharing the island of st kitts,0.9560723514211886,0.9477051078618668,0.9435483870967742,0.9754480719566345
67,what is the age you have to be to have the right to freedom of speech,0.2982456140350877,0.10888559506398902,0.3333333333333333,0.8713659644126892
68,what was the distance of evacuation from the russian nuclear meltdown,0.9624573378839592,0.9173979966827317,0.9514563106796117,0.9776021838188171
69,what country in the middle east did france take control of after ww1,0.6126126126126126,0.4597736400667357,0.6063348416289592,0.916613757610321
70,how did elvis presley contribute to the popularity of rock and roll?,0.6525198938992042,0.5647878988102825,0.6456692913385826,0.9107348918914795
71,what the multiple endings of john say about its possible authorship;,0.91005291005291,0.8544179341074181,0.9051094890510949,0.9667419195175171
72,"what types of trees, flowers, or plants are commonly found in canada",0.9531914893617022,0.9163103310076665,0.9591836734693877,0.9700164794921875
73,who are the current minority leaders in the house of representatives,0.9406175771971497,0.9112766580728819,0.927038626609442,0.9658964276313782
74,who was the republican candidate for president in the 1969 elections,0.8741721854304635,0.8499981277733027,0.8467153284671532,0.9617741703987122
75,what happens  to the light independent reactions of photosynthesis?,0.9598214285714287,0.9257088106764018,0.9565217391304348,0.9734222888946533
76,how did the african slave trade affect africans in terms of economy,0.9312977099236641,0.8660005181501845,0.9365079365079365,0.9654190540313721
77,when tonight show first started in 1962 everyone did this on camera,0.9648711943793911,0.9307140187907598,0.9657534246575342,0.9797303080558777
78,What was the original name of the holiday known today as Halloween?,0.697508896797153,0.5944926214259456,0.6914893617021277,0.9058489799499512
79,how school librarians support students with disabilities in europe,0.9639639639639639,0.9293580367349937,0.96,0.9741842150688171
80,how many bones are in the skeletal system is composed of 306 bones,0.8201892744479495,0.6490904461515118,0.8073394495412844,0.9323898553848267
81,who accompanied King louis the VII of France on the second crusade,0.5637065637065637,0.2862262537157161,0.6382978723404256,0.9227373600006104
82,what year did george bush name hank paulson secretary of treasury?,0.9710144927536232,0.9261572396865703,0.95,0.9773539900779724
83,What is the function of an epithelial free surface that is smooth?,0.4116094986807388,0.24506224142182056,0.4602510460251046,0.8778096437454224
84,what is the average time it takes to go through aa 12 step program,0.7046070460704608,0.5464912679796277,0.7107438016528925,0.9287607669830322
85,what professional baseball pitchers were on the Schaumburg Flyers,0.7888198757763975,0.6576804604862286,0.7654320987654321,0.9128323793411255
86,where did the money for the new scoreboard in milwaukee come from,0.9071618037135278,0.8261738948551199,0.8945147679324894,0.9614300727844238
87,"WHAT MOVIE HAD MICKEY GILLEY'S SONG ""I WAS BORN A DREAMER"" IN IT?",0.8900255754475703,0.8282378450423179,0.8745247148288974,0.9652641415596008
88,What role did clint walker play in the movie The Ten Commandments,0.2492012779552716,0.05200738396009772,0.2995169082125604,0.8516340255737305
89,"where is the person who played ""joey stivic"" in all in the family",0.6871794871794872,0.48880028363648215,0.7172413793103448,0.9323202967643738
90,What culture is it that children do not look adults in the eyes?,0.8861985472154963,0.8386813010844578,0.8953068592057761,0.9683277010917664
91,when does into the wild 30 seconds to mars concert dvd come out?,0.5368421052631579,0.5387234732110768,0.6666666666666666,0.901848554611206
92,what printmaking process doesn't require the text to be reversed,0.9601769911504426,0.9153606634748592,0.951310861423221,0.9803961515426636
93,where in gospel of mark does the disciples question Christ deity,0.955223880597015,0.9093529197040449,0.9523809523809523,0.9708811044692993
94,what is the highest mountain in america and where is is located?,0.7457627118644068,0.5103841831555019,0.7634408602150538,0.9264194965362549
95,what is the name for the oldest island in the hawaiian hot spots,0.8523676880222841,0.7513994111990379,0.8906882591093117,0.9549118876457214
96,when was sechs Kleine Klavierstucke by arnold schoenberg written,0.7601246105919002,0.5875533525850625,0.7946428571428571,0.9405973553657532
97,how much money did charlie chaplin make in any year in the 1920,0.9672544080604534,0.9250501472363296,0.956140350877193,0.9755557775497437
98,how many native Americans did the United States kill or deport?,0.8073770491803278,0.6718201325003655,0.822742474916388,0.9467921257019043
99,What did the Supreme Court determine in Dred Scott v. Sandford?,0.26785714285714285,0.12195253444758812,0.27751196172248804,0.843619167804718
100,how many millions of years have great white sharks been around?,0.9545454545454545,0.9020130010194692,0.9391304347826087,0.9762259125709534
101,How is constitutionalism used in the American Government today?,0.9405099150141643,0.877962705785794,0.9411764705882353,0.9674597382545471
102,where did lyndon b johnson tour to announce his war on poverty?,0.6996197718631179,0.46565994327507976,0.6941176470588235,0.9102007150650024
103,What is the first program to run during a system boot sequence?,0.9026128266033254,0.8632873979074901,0.8996282527881041,0.9608906507492065
104,who is elizabeth from general hospital who are the boys fathers,0.8975069252077562,0.8305671743923106,0.8831168831168831,0.9645443558692932
105,what were the major obstacles facing the Industrial Revolution/,0.9121813031161472,0.8560515820950577,0.9230769230769231,0.9683818817138672
106,who was the last roman emperor and how old was he when he ruled,0.9565217391304348,0.9314437403354051,0.9369369369369369,0.9722757935523987
107,when was the ancient greek republic was formed and on what date,0.48226950354609927,0.23166368803724907,0.4827586206896552,0.8817465901374817
108,how much more time does chemo give to people with renal cancer,0.6765799256505576,0.4317740972039016,0.7080745341614907,0.9242310523986816
109,when did abraham lincoln write the emancipation proclamation??,0.9633507853403142,0.9146709500819893,0.95,0.980215311050415
110,what spanish speaking countries have the most world cup titles,0.6453488372093024,0.3698559119877204,0.7064676616915423,0.9196418523788452
111,what percent of kids 15 and under make up the human population,0.8997668997668997,0.8759304622329174,0.89198606271777,0.9620113968849182
112,what is the name of an investigation with controlled variables,0.7882037533512064,0.6038057364133705,0.8347107438016529,0.9462047815322876
113,what is the difference between multistage and cluster sampling,0.8774509803921569,0.8239101464616225,0.8744588744588745,0.9498904347419739
114,What were the major economic activities of the early Canadians,0.9624413145539906,0.9260949480954674,0.9733333333333334,0.9722099304199219
115,what is the main source of power in today's america factories?,0.9405099150141643,0.877962705785794,0.9411764705882353,0.9674596786499023
116,"what is the meaning behind  the song Moody's, Im In the Mood ?",0.4027777777777778,0.29908657270331335,0.48031496062992124,0.8704816699028015
117,What was distinguished about the Stamp Act from previous taxes,0.5543859649122806,0.19236787799102198,0.6146341463414634,0.9231005311012268
118,how are business ethics different in Africa and United States,0.34177215189873417,0.18244811079180043,0.36363636363636365,0.8708783984184265
119,How many consecutive starts did Brett Favre have this season?,0.9427083333333333,0.9106487773317906,0.9420289855072463,0.9764986038208008
120,How many miles of interstates are there in the united states?,0.7464387464387464,0.7281399600174436,0.8773584905660378,0.9452612400054932
121,how did streets in lower 9th ward new orleans get their names,0.5927505330490406,0.48809159211694414,0.6312056737588653,0.8897688388824463
122,what day does election results for a new governor start in NJ,0.9406175771971497,0.9117508177308313,0.9416342412451362,0.9634758234024048
123,how does Delaware support its claim to being the first state?,0.9523809523809523,0.9213951939748596,0.9555555555555556,0.9780116677284241
124,what percent of illegal immigrants are from mexico and europe,0.83377308707124,0.6986885543217316,0.8259109311740891,0.9407960772514343
125,what model years did the ford focus zx3 have the zetec engine,0.36000000000000004,0.04238330119030554,0.3905325443786982,0.875404417514801
126,What are 2 United States Senators that are from Pennsylvania?,0.33576642335766427,0.1711606778515195,0.4803921568627451,0.87335205078125
127,"What is the birth rate, death rate, life expectancy in Turkey",0.9406593406593406,0.876376466310802,0.9283018867924528,0.960056483745575
128,who was the first person to climb the mount of the holy cross,0.9316770186335404,0.8552269656252214,0.9116279069767442,0.9358969330787659
129,What is the value of understanding cross-cultural psychology?,0.19546247818499127,0.04629932664216524,0.23780487804878048,0.8336307406425476
130,what is the difference between diabetic and adiabatic process,0.9644444444444443,0.923372763988351,0.9584905660377359,0.9783096313476562
131,how do I determine size needed for german world war 2 helmet,0.9701492537313432,0.9501230966510453,0.967032967032967,0.9872013330459595
132,what do do the colors on the flag of palma de mallorca mean?,0.9739583333333333,0.9440184901615474,0.9606986899563319,0.9809774160385132
133,what types of muscles are those of the swallowing mechanism?,0.8471337579617835,0.7798843819628118,0.819672131147541,0.9450308084487915
134,who died on the florida gators college baseball team in 2010,0.9646464646464646,0.9312464126809635,0.957983193277311,0.9709959030151367
135,what is the united nations and what is its role in the world,0.8688524590163935,0.761428891416426,0.8754716981132076,0.9544640183448792
136,what was the name of the magazine all teenager read in 2000s,0.6326530612244898,0.4156814994114142,0.6567164179104478,0.9148697257041931
137,what is commercial health insurance - Blue Cross Blue Shield,0.6949602122015915,0.48817474423488855,0.7373271889400922,0.907934308052063
138,how old was anna nicole smith when she meet her old husband,0.9677419354838709,0.9395446198605879,0.9718875502008032,0.9805549383163452
139,HOW MANY BROTHELS WERE THERE IN THE UNITED STATES IN 1840'S,0.9386792452830188,0.8042867891799249,0.9009584664536742,0.9819859862327576
